,Date,Index Name,Value,Name
3429,1989-02-01,RECREATION & CULTURE,76.6,CPIH
867,1989-02-01,CLOTHING AND FOOTWEAR,202.1,CPIH
8126,1989-02-01,COMMUNICATION,97.5,CPI
1721,1989-02-01,"FURN, HH EQUIP & ROUTINE REPAIR OF HOUSE",71.9,CPIH
6845,1989-02-01,"FURN, HH EQUIP & ROUTINE REPAIR OF HOUSE",71.3,CPI
3856,1989-02-01,EDUCATION,13.2,CPIH
8980,1989-02-01,EDUCATION,13.2,CPI
13,1989-02-01,FOOD AND NON-ALCOHOLIC BEVERAGES,50.2,CPIH
440,1989-02-01,"ALCOHOLIC BEVERAGES,TOBACCO & NARCOTICS",28.5,CPIH
2575,1989-02-01,TRANSPORT,42.7,CPIH
7272,1989-02-01,HEALTH,40.7,CPI
4710,1989-02-01,MISCELLANEOUS GOODS AND SERVICES,48.7,CPIH
9834,1989-02-01,MISCELLANEOUS GOODS AND SERVICES,49.3,CPI
9407,1989-02-01,"HOTELS, CAFES AND RESTAURANTS",35.1,CPI
4283,1989-02-01,"HOTELS, CAFES AND RESTAURANTS",35.1,CPIH
868,1989-03-01,CLOTHING AND FOOTWEAR,202.8,CPIH
5138,1989-03-01,FOOD AND NON-ALCOHOLIC BEVERAGES,50.4,CPI
8127,1989-03-01,COMMUNICATION,97.6,CPI
3430,1989-03-01,RECREATION & CULTURE,76.7,CPIH
8981,1989-03-01,EDUCATION,13.2,CPI
5992,1989-03-01,CLOTHING AND FOOTWEAR,202.2,CPI
6846,1989-03-01,"FURN, HH EQUIP & ROUTINE REPAIR OF HOUSE",71.7,CPI
6419,1989-03-01,"Housing, water, electricity, gas and other fuels",42.3,CPI
7273,1989-03-01,HEALTH,40.7,CPI
7700,1989-03-01,TRANSPORT,42.9,CPI
14,1989-03-01,FOOD AND NON-ALCOHOLIC BEVERAGES,50.5,CPIH
4284,1989-03-01,"HOTELS, CAFES AND RESTAURANTS",35.2,CPIH
9408,1989-03-01,"HOTELS, CAFES AND RESTAURANTS",35.2,CPI
4711,1989-03-01,MISCELLANEOUS GOODS AND SERVICES,48.8,CPIH
1722,1989-03-01,"FURN, HH EQUIP & ROUTINE REPAIR OF HOUSE",72.3,CPIH
8554,1989-03-01,RECREATION & CULTURE,76.3,CPI
9835,1989-03-01,MISCELLANEOUS GOODS AND SERVICES,49.4,CPI
2576,1989-03-01,TRANSPORT,43.0,CPIH
1295,1989-03-01,"HOUSING, WATER AND FUELS",33.8,CPIH
2149,1989-03-01,HEALTH,41.0,CPIH
5565,1989-03-01,"ALCOHOLIC BEVERAGES,TOBACCO & NARCOTICS",28.6,CPI
3857,1989-03-01,EDUCATION,13.2,CPIH
3003,1989-03-01,COMMUNICATION,98.5,CPIH
441,1989-03-01,"ALCOHOLIC BEVERAGES,TOBACCO & NARCOTICS",28.6,CPIH
7274,1989-04-01,HEALTH,41.3,CPI
442,1989-04-01,"ALCOHOLIC BEVERAGES,TOBACCO & NARCOTICS",28.7,CPIH
6420,1989-04-01,"Housing, water, electricity, gas and other fuels",42.6,CPI
9409,1989-04-01,"HOTELS, CAFES AND RESTAURANTS",35.4,CPI
9836,1989-04-01,MISCELLANEOUS GOODS AND SERVICES,49.9,CPI
6847,1989-04-01,"FURN, HH EQUIP & ROUTINE REPAIR OF HOUSE",72.0,CPI
3431,1989-04-01,RECREATION & CULTURE,77.2,CPIH
1296,1989-04-01,"HOUSING, WATER AND FUELS",35.0,CPIH
5139,1989-04-01,FOOD AND NON-ALCOHOLIC BEVERAGES,51.0,CPI
3004,1989-04-01,COMMUNICATION,98.6,CPIH
8128,1989-04-01,COMMUNICATION,97.6,CPI
2150,1989-04-01,HEALTH,41.6,CPIH
4285,1989-04-01,"HOTELS, CAFES AND RESTAURANTS",35.4,CPIH
869,1989-04-01,CLOTHING AND FOOTWEAR,206.4,CPIH
1723,1989-04-01,"FURN, HH EQUIP & ROUTINE REPAIR OF HOUSE",72.7,CPIH
5993,1989-04-01,CLOTHING AND FOOTWEAR,205.8,CPI
4712,1989-04-01,MISCELLANEOUS GOODS AND SERVICES,49.4,CPIH
8555,1989-04-01,RECREATION & CULTURE,76.8,CPI
2577,1989-04-01,TRANSPORT,43.8,CPIH
7701,1989-04-01,TRANSPORT,43.7,CPI
5566,1989-04-01,"ALCOHOLIC BEVERAGES,TOBACCO & NARCOTICS",28.7,CPI
